,City,Lat,Lon,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
207,gusau,12.16,6.66,306.43,35,1,3.31,NG,1593025790
208,saskylakh,71.92,114.08,296.55,41,0,2.56,RU,1593025520
209,boralday,43.36,76.86,290.15,55,40,3.0,KZ,1593025790
210,mexico,15.06,120.72,298.15,94,75,1.0,PH,1593025790
211,chongqing,29.56,106.55,298.15,83,0,2.0,CN,1593025773
212,mehamn,71.04,27.85,282.15,93,75,6.2,NO,1593025788
213,ayolas,-27.4,-56.9,296.89,62,100,3.66,PY,1593025790
214,deputatskiy,69.3,139.9,293.17,48,0,0.87,RU,1593025790
215,tiksi,71.69,128.87,289.68,56,93,1.94,RU,1593025380
216,clyde river,70.47,-68.59,280.15,81,75,2.6,CA,1593025529
217,ambilobe,-13.2,49.05,293.86,82,0,1.93,MG,1593025519
218,ambon,-3.7,128.18,299.82,14,54,6.37,ID,1593025791
219,sorland,67.67,12.69,285.15,87,75,4.1,NO,1593025516
220,kailua,21.4,-157.74,300.15,61,75,4.6,US,1593025515
221,hoi an,15.88,108.33,301.15,74,20,1.0,VN,1593025791
222,bathsheba,13.22,-59.52,304.15,66,40,11.3,BB,1593025791
223,sucre,-19.03,-65.26,293.37,20,0,2.53,BO,1593025619
224,toropets,56.5,31.64,291.0,75,71,1.9,RU,1593025791
225,amazar,53.86,120.88,286.0,67,58,0.52,RU,1593025791
226,nocupetaro,19.05,-101.15,303.86,49,16,2.26,MX,1593025791
227,wodonga,-36.12,146.88,281.48,100,90,0.46,AU,1593025791
228,almeria,37.17,-2.33,302.15,45,0,3.6,ES,1593025792
229,ijui,-28.39,-53.91,297.17,64,94,5.38,BR,1593025792
230,makueni,-1.8,37.62,291.04,84,17,2.45,KE,1593025792
231,toccoa,34.58,-83.33,298.15,73,75,3.1,US,1593025792
232,fernandez,-27.92,-63.89,289.2,59,100,5.32,AR,1593025792
233,saint george,37.1,-113.58,309.82,9,1,2.1,US,1593025382
234,greenville,35.61,-77.37,304.15,40,1,3.1,US,1593025792
235,chimoio,-19.12,33.48,289.15,93,75,1.39,MZ,1593025793
236,esperance,-33.87,121.9,279.15,81,0,1.0,AU,1593025505
237,moree,-29.47,149.85,283.15,76,90,2.6,AU,1593025793
238,geraldton,-28.77,114.6,286.15,76,0,3.1,AU,1593025382
239,sao filipe,14.9,-24.5,298.58,78,1,3.96,CV,1593025519
240,mount isa,-20.73,139.5,284.15,37,0,5.86,AU,1593025544
241,tahoua,14.89,5.27,312.15,17,40,7.2,NE,1593025793
242,college,64.86,-147.8,285.15,81,90,2.1,US,1593025529
243,roebourne,-20.78,117.13,292.77,66,0,3.36,AU,1593025793
244,kassala,15.45,36.4,308.26,23,100,3.88,SD,1593025793
245,barentu,15.11,37.59,303.74,20,100,0.67,ER,1593025794
246,paita,-5.09,-81.11,296.15,69,97,7.7,PE,1593025522
247,zhangye,38.93,100.45,294.73,21,100,2.96,CN,1593025794
248,talnakh,69.49,88.4,287.15,71,100,2.0,RU,1593025507
249,umm kaddadah,13.6,26.69,308.4,25,88,6.6,SD,1593025795
250,yamethin,20.43,96.15,299.04,82,97,3.24,MM,1593025795
251,northam,51.03,-4.22,296.48,61,0,0.45,GB,1593025507
252,halifax,44.65,-63.57,298.71,77,11,1.79,CA,1593025734
253,fuzhou,26.06,119.31,300.15,88,100,4.0,CN,1593025795
254,portland,45.52,-122.68,297.59,60,75,0.67,US,1593025272
255,ingham,42.6,-84.38,296.15,46,75,4.6,US,1593025796
256,chifeng,42.27,118.96,291.27,82,100,4.13,CN,1593025796
257,souillac,-20.52,57.52,295.15,68,20,5.7,MU,1593025515
258,te anau,-45.42,167.72,277.07,90,54,0.9,NZ,1593025511
259,gallup,35.53,-108.74,305.15,10,1,2.9,US,1593025797
260,capao da canoa,-29.75,-50.01,295.65,66,0,3.46,BR,1593025797
261,hay river,60.82,-115.8,294.15,43,20,2.1,CA,1593025791
262,faya,18.39,42.45,297.15,8,100,2.48,SA,1593025770
263,san pedro,14.35,121.02,301.15,83,20,0.5,PH,1593025797
264,asau,46.43,26.4,293.15,79,78,1.0,RO,1593025524
265,altamira,-3.2,-52.21,304.15,62,40,1.0,BR,1593025797
266,adrar,20.5,-10.07,314.33,10,44,4.15,MR,1593025384
267,bay roberts,47.6,-53.26,299.26,60,21,4.82,CA,1593025536
268,petropavlovsk-kamchatskiy,53.05,158.65,283.15,100,2,3.0,RU,1593025378
269,karlskrona,56.16,15.59,293.15,68,34,2.1,SE,1593025797
270,saint-augustin,51.23,-58.65,293.98,70,100,9.03,CA,1593025516
271,roros,62.57,11.38,297.15,50,0,3.6,NO,1593025798
272,monrovia,6.3,-10.8,300.15,83,75,2.6,LR,1593025798
273,hluk,48.99,17.53,290.37,100,0,2.77,CZ,1593025798
274,port pirie,-33.18,138.02,279.15,75,0,4.6,AU,1593025798
275,tevaitoa,-16.78,-151.5,299.78,84,3,6.1,PF,1593025798
276,cockburn town,21.46,-71.14,304.15,62,40,5.1,TC,1593025512
277,fare,-16.7,-151.02,299.54,84,10,5.86,PF,1593025799
278,luderitz,-26.65,15.16,292.15,29,0,3.1,NA,1593025523
279,atuona,-9.8,-139.03,299.23,71,50,7.61,PF,1593025378
280,sukhobezvodnoye,57.05,44.89,283.45,67,0,2.9,RU,1593025799
281,mehran,33.12,46.16,297.15,25,0,5.91,IR,1593025799
282,hamilton,39.18,-84.53,300.37,36,40,3.6,US,1593025262
283,flekkefjord,58.3,6.66,292.59,73,81,2.24,NO,1593025799
284,port lincoln,-34.73,135.87,286.97,80,0,5.45,AU,1593025455
285,tecoanapa,16.52,-98.75,297.38,90,100,4.08,MX,1593025799
286,touros,-5.2,-35.46,300.15,74,99,3.1,BR,1593025789
287,port hedland,-20.32,118.57,286.15,87,0,3.1,AU,1593025800
288,vestmannaeyjar,63.44,-20.27,285.15,87,40,4.6,IS,1593025800
289,sechura,-5.56,-80.82,297.82,54,78,6.16,PE,1593025522
290,butembo,0.15,29.28,288.54,89,0,1.79,CD,1593025801
291,riyadh,24.69,46.72,306.15,18,7,1.0,SA,1593025516
292,mikuni,36.22,136.15,295.15,83,75,1.0,JP,1593025801
293,kavieng,-2.57,150.8,301.23,74,4,4.68,PG,1593025379
294,klaksvik,62.23,-6.59,284.15,87,93,7.2,FO,1593025508
295,demerval lobao,-5.36,-42.68,306.15,46,40,3.6,BR,1593025801
296,louth,53.37,0.0,297.59,72,0,6.7,GB,1593025801
297,wasilla,61.58,-149.44,286.15,58,75,2.1,US,1593025767
298,zhezkazgan,47.8,67.71,293.12,26,100,3.33,KZ,1593025801
299,kazlu ruda,54.77,23.5,298.15,44,0,2.1,LT,1593025801
300,makakilo city,21.35,-158.09,300.15,69,1,4.09,US,1593025284
301,husavik,66.04,-17.34,289.15,55,40,9.3,IS,1593025801
302,lorengau,-2.02,147.27,301.06,81,3,4.79,PG,1593025384
303,sunbury,-37.58,144.73,283.15,93,75,5.1,AU,1593025632
304,gizo,-8.1,156.84,300.87,75,16,4.37,SB,1593025802
305,mayo,38.89,-76.51,302.04,42,20,4.6,US,1593025544
306,ramet,46.3,23.53,293.15,82,20,2.6,RO,1593025802
307,namibe,-15.2,12.15,293.93,67,0,2.8,AO,1593025524
308,paamiut,61.99,-49.67,278.46,87,100,2.52,GL,1593025456
309,susangerd,31.56,48.18,307.15,17,0,2.1,IR,1593025802
310,tan an,10.53,106.42,298.15,100,40,0.5,VN,1593025802
311,torbay,47.67,-52.73,299.26,69,75,7.2,CA,1593025514
312,impfondo,1.64,18.07,298.64,72,77,1.53,CG,1593025522
313,roma,43.21,-75.46,298.15,41,1,7.7,US,1593025769
314,mosetse,-20.75,26.65,286.2,69,0,6.07,BW,1593025802
315,cabo san lucas,22.89,-109.91,305.93,38,5,2.6,MX,1593025300
316,scarborough,54.28,-0.4,292.59,72,0,3.93,GB,1593025803
317,lompoc,34.64,-120.46,294.26,77,100,2.1,US,1593025508
318,meadow lake,34.8,-106.54,303.15,19,1,4.6,US,1593025803
319,sangar,63.92,127.47,287.88,64,0,1.93,RU,1593025803
320,mbandaka,0.05,18.26,298.32,67,0,0.47,CD,1593025803
321,sundsvall,62.39,17.31,297.59,56,0,2.1,SE,1593025803
322,brenes,37.55,-5.87,303.71,41,0,3.13,ES,1593025803
323,dresden,51.05,13.74,291.48,77,98,1.0,DE,1593025803
324,necochea,-38.55,-58.74,284.82,83,100,1.79,AR,1593025531
325,georgiyevka,43.04,74.71,291.15,52,0,3.0,KZ,1593025803
326,havre-saint-pierre,50.23,-63.6,300.15,61,1,3.6,CA,1593025511
327,codrington,-38.27,141.97,280.86,85,0,4.42,AU,1593025517
328,tautira,-17.73,-149.15,300.15,74,40,3.1,PF,1593025804
329,awjilah,29.11,21.29,300.82,33,0,8.48,LY,1593025384
330,turrialba,9.9,-83.68,300.15,57,75,3.1,CR,1593025804
331,waipawa,-41.41,175.52,284.15,81,86,7.2,NZ,1593025475
332,mazyr,52.05,29.25,290.96,81,88,2.75,BY,1593025804
333,corinto,37.94,22.96,298.71,53,0,0.45,GR,1593025804
334,nabire,-3.37,135.48,297.41,89,75,1.92,ID,1593025804
335,kultuk,51.72,103.7,286.97,77,3,2.64,RU,1593025804
336,vao,-22.67,167.48,294.64,64,58,6.58,NC,1593025522
337,charlestown,-32.95,151.67,284.26,83,0,0.89,AU,1593025804
338,korla,41.76,86.15,298.85,25,0,11.24,CN,1593025540
339,vardo,70.37,31.11,282.15,93,75,2.6,NO,1593025383
340,abrego,8.08,-73.22,298.39,51,100,2.12,CO,1593025805
341,the valley,18.22,-63.06,304.15,62,20,7.7,AI,1593025805
342,oktyabrskoye,43.06,44.74,292.15,88,100,4.0,RU,1593025805
343,leonidovo,49.28,142.87,280.75,94,100,1.03,RU,1593025805
344,kristiinankaupunki,62.27,21.38,290.77,75,0,2.74,FI,1593025528
345,sabang,5.89,95.32,301.51,74,75,3.85,ID,1593025805
346,gilgit,35.92,74.31,298.13,35,94,1.11,PK,1593025805
347,sartana,47.17,37.7,298.15,100,1,7.6,UA,1593025805
348,butte,39.65,-121.57,304.82,43,1,2.1,US,1593025805
349,pangody,65.85,74.49,285.24,67,100,1.49,RU,1593025805
350,ludwigslust,53.32,11.5,297.59,60,85,0.45,DE,1593025805
351,lagoa,39.05,-27.98,290.51,65,0,4.62,PT,1593025505
352,novyy yegorlyk,46.39,41.87,295.06,81,100,5.5,RU,1593025805
353,joensuu,62.6,29.76,298.15,44,50,3.1,FI,1593025806
354,mundo nuevo,18.7,-95.5,301.32,71,100,1.59,MX,1593025806
355,urumqi,43.8,87.6,295.15,56,98,5.0,CN,1593025806
356,surt,31.21,16.59,296.45,73,0,6.46,LY,1593025771
357,lata,40.16,-8.33,292.59,79,0,3.11,PT,1593025535
358,nongan,44.38,125.17,291.15,88,75,2.0,CN,1593025806
359,mbuji-mayi,-6.15,23.6,299.56,34,0,1.06,CD,1593025806
360,alexandria,31.22,29.96,297.15,69,20,4.6,EG,1593025311
361,hasaki,35.73,140.83,291.15,100,75,3.6,JP,1593025306
362,eureka,40.8,-124.16,292.04,100,90,3.6,US,1593025368
363,estevan,49.13,-102.98,303.71,39,1,4.1,CA,1593025806
364,ciudad bolivar,8.12,-63.55,306.64,44,88,5.11,VE,1593025748
365,taperoa,-7.21,-36.83,301.57,47,12,6.92,BR,1593025807
366,saint anthony,45.02,-93.22,298.71,47,20,4.1,US,1593025807
367,pecanha,-18.55,-42.56,292.4,62,0,2.04,BR,1593025807
368,mackay,-21.15,149.2,281.15,93,0,2.6,AU,1593025807
369,houston,29.76,-95.36,302.04,65,75,3.1,US,1593025429
370,gilbues,-9.83,-45.34,303.67,36,2,3.92,BR,1593025807
371,mellieha,35.96,14.36,296.48,88,0,5.1,MT,1593025533
372,morgan city,29.7,-91.21,300.15,88,90,2.6,US,1593025807
373,domvraina,38.25,22.98,298.71,72,12,1.34,GR,1593025807
374,tambopata,-12.73,-69.18,304.15,62,75,3.6,PE,1593025807
375,carambei,-24.92,-50.1,292.75,62,0,3.46,BR,1593025807
376,tabou,4.42,-7.35,298.27,84,58,3.98,CI,1593025807
377,cavalcante,-13.8,-47.46,298.79,50,84,3.14,BR,1593025807
378,ereymentau,51.62,73.1,287.56,53,53,3.61,KZ,1593025479
379,vigrestad,58.57,5.7,295.37,68,11,5.1,NO,1593025808
380,sunrise manor,36.21,-115.07,311.48,8,1,1.5,US,1593025808
381,la ronge,55.1,-105.28,291.15,93,90,1.5,CA,1593025273
382,los alamos,35.89,-106.31,302.15,25,1,2.6,US,1593025808
383,salinas,36.68,-121.66,292.15,68,40,4.1,US,1593025224
384,carutapera,-1.2,-46.02,300.8,81,35,4.05,BR,1593025521
385,fuerte olimpo,-21.04,-57.87,304.53,39,100,5.08,PY,1593025809
